Block	Row	Column	Y													
3	dub	5	1.462
3	half	5	1.354
3	ref	5	1.285
3	ref	6	1.548
3	half	6	1.761
3	one	6	1.53
3	dub	6	1.346
3	one	6	1.586
3	dub	6	1.447
3	half	6	1.692
3	ref	6	1.466
3	ref	7	1.764
3	half	7	1.816
3	one	7	1.75
3	dub	7	1.394
3	one	7	1.559
3	dub	7	1.411
3	half	7	1.958
3	ref	7	1.58
3	ref	8	1.807
3	half	8	2.193
3	one	8	1.947
3	dub	8	1.744
3	one	8	1.902
3	dub	8	1.959
3	half	8	2.123
3	ref	8	2.068
3	ref	9	1.949
3	half	9	1.965
3	one	9	2.077
3	dub	9	1.671
3	one	9	1.9
3	dub	9	1.649
3	half	9	1.994
3	ref	9	1.868
3	ref	10	1.961
3	half	10	1.9
3	one	10	1.956
3	dub	10	1.891
3	one	10	1.912
3	dub	10	1.999
3	half	10	1.956
3	ref	10	1.777
3	ref	11	2.319
3	half	11	2.187
3	one	11	2.224
3	dub	11	2.026
3	one	11	2.165
3	dub	11	2.113
3	half	11	2.157
3	ref	11	1.88
3	ref	12	2.322
3	half	12	2.463
3	one	12	2.146
3	dub	12	1.987
3	one	12	2.209
3	dub	12	2.164
3	half	12	2.075
3	ref	12	2.19
