Gene	Variety	Array	Probe	Y
10	1	2	40	1.42
10	2	3	37	3.44
10	2	3	38	4.46
10	2	3	39	4.47
10	2	3	40	4.77
10	2	4	37	5.47
10	2	4	38	4.05
10	2	4	39	3.35
10	2	4	40	4.53
10	3	5	37	10.65
10	3	5	38	8.15
10	3	5	39	9.63
10	3	5	40	10.17
10	3	6	37	10.4
10	3	6	38	10.22
10	3	6	39	10
10	3	6	40	10.98
